timestamp,symbol,action,price,source,status,execution_status,rejection_reason,capital_used,quantity,order_id,execution_price
2025-12-02T12:54:00.454616,INFOSYS-EQ,BUY,1850.5,TradingView,RECEIVED,PENDING,,0,0,,
2025-12-02T12:54:00.478628,NIFTY-EQ,BUY,24800.0,TradingView,RECEIVED,PENDING,,0,0,,
2025-12-02T12:54:04.263279,NIFTY-EQ,BUY,24800.0,TradingView,REJECTED,MISSED,"Trade capital exceeds limit (need: 5010.02, limit: 2000.0)",0,0,,
2025-12-02T12:56:44.494610,TECHM-EQ,BUY,1450.0,TradingView,RECEIVED,PENDING,,0,0,,
2025-12-02T12:56:45.474331,TECHM-EQ,BUY,1450.0,TradingView,EXECUTED,SUCCESS,,1772.87,6,PAPER_1764660405455,1450.0
2025-12-02T12:59:08.380854,TECHM-EQ,BUY,1450.0,TradingView,RECEIVED,PENDING,,0,0,,
2025-12-02T13:31:06.040954,TECHM-EQ,BUY,1460.0,TradingView,RECEIVED,PENDING,,0,0,,
2025-12-02T13:31:07.161762,TECHM-EQ,BUY,1460.0,TradingView,EXECUTED,SUCCESS,,1784.93,6,PAPER_1764662467135,1460.0
2025-12-02T13:37:48.911042,TECHM-EQ,BUY,1460.0,TradingView,RECEIVED,PENDING,,0,0,,
2025-12-02T13:37:49.877444,TECHM-EQ,BUY,1460.0,TradingView,EXECUTED,SUCCESS,,1784.93,6,PAPER_1764662869867,1460.0
2025-12-02T18:54:03.829660,INOXWIND-EQ,BUY,133.12,TradingView,RECEIVED,PENDING,,0,0,,
2025-12-02T18:58:34.479103,ASIANPAINT-EQ,BUY,2955.0,TradingView,RECEIVED,PENDING,,0,0,,
2025-12-02T18:58:48.370662,ASIANPAINT-EQ,BUY,2955.0,TradingView,RECEIVED,PENDING,,0,0,,
2025-12-02T19:02:09.520023,ASIANPAINT-EQ,BUY,2955.0,TradingView,RECEIVED,PENDING,,0,0,,
